record_type,evaluation,method,label_id,family,label_support,included_in_official_macro_f1,official_macro_label_count,official_macro_f1,diagnostic_rule,diagnostic_macro_label_count,diagnostic_macro_f1,delta_diagnostic_minus_official,status,reference_terminology
MACRO_SENSITIVITY,A1,M1,,,,,17,0.4666761002175695,EXCLUDE_PURPOSE_REMOVAL_OF_ORGANS_DESPITE_POSITIVE_SUPPORT,16,0.4958433564811675,0.029167256263598007,DESCRIPTIVE_SENSITIVITY_NOT_CANONICAL_REPLACEMENT,SHERLOC Legacy Keywords silver reference
MACRO_SENSITIVITY,A1,M2,,,,,17,0.5346157828013263,EXCLUDE_PURPOSE_REMOVAL_OF_ORGANS_DESPITE_POSITIVE_SUPPORT,16,0.5680292692264093,0.03341348642508302,DESCRIPTIVE_SENSITIVITY_NOT_CANONICAL_REPLACEMENT,SHERLOC Legacy Keywords silver reference
MACRO_SENSITIVITY,A1,M3,,,,,17,0.5934209776519799,EXCLUDE_PURPOSE_REMOVAL_OF_ORGANS_DESPITE_POSITIVE_SUPPORT,16,0.5680097887552286,-0.025411188896751313,DESCRIPTIVE_SENSITIVITY_NOT_CANONICAL_REPLACEMENT,SHERLOC Legacy Keywords silver reference
MACRO_SENSITIVITY,A1,M4,,,,,17,0.6017178842048039,EXCLUDE_PURPOSE_REMOVAL_OF_ORGANS_DESPITE_POSITIVE_SUPPORT,16,0.5768252519676041,-0.02489263223719973,DESCRIPTIVE_SENSITIVITY_NOT_CANONICAL_REPLACEMENT,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,ACT_RECRUITMENT,Act,712,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,ACT_TRANSPORTATION,Act,597,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,ACT_TRANSFER,Act,308,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,ACT_HARBOURING,Act,402,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,ACT_RECEIPT,Act,226,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,MEANS_THREAT_FORCE_OR_COERCION,Means,469,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,MEANS_ABDUCTION,Means,72,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,MEANS_FRAUD,Means,225,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,MEANS_DECEPTION,Means,470,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,Means,564,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,Means,87,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,PURPOSE_SEXUAL_EXPLOITATION,Purpose,720,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,PURPOSE_FORCED_LABOUR_OR_SERVICES,Purpose,157,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,Purpose,37,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,PURPOSE_SERVITUDE,Purpose,44,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,PURPOSE_REMOVAL_OF_ORGANS,Purpose,0,0,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
LABEL_SUPPORT,A2,,PURPOSE_OTHER,Purpose,30,1,,,,,,,DESCRIPTIVE_SUPPORT_PROFILE,SHERLOC Legacy Keywords silver reference
MACRO_SENSITIVITY,A2,M1,,,,,16,0.47984484500934504,ORGAN_REMOVAL_ALREADY_ZERO_SUPPORT_AND_EXCLUDED_FROM_OFFICIAL_MACRO,16,0.47984484500934504,0.0,DESCRIPTIVE_SENSITIVITY_NOT_CANONICAL_REPLACEMENT,SHERLOC Legacy Keywords silver reference
MACRO_SENSITIVITY,A2,M2,,,,,16,0.5274875865728823,ORGAN_REMOVAL_ALREADY_ZERO_SUPPORT_AND_EXCLUDED_FROM_OFFICIAL_MACRO,16,0.5274875865728823,0.0,DESCRIPTIVE_SENSITIVITY_NOT_CANONICAL_REPLACEMENT,SHERLOC Legacy Keywords silver reference
MACRO_SENSITIVITY,A2,M3,,,,,16,0.5722573707446506,ORGAN_REMOVAL_ALREADY_ZERO_SUPPORT_AND_EXCLUDED_FROM_OFFICIAL_MACRO,16,0.5722573707446506,0.0,DESCRIPTIVE_SENSITIVITY_NOT_CANONICAL_REPLACEMENT,SHERLOC Legacy Keywords silver reference
MACRO_SENSITIVITY,A2,M4,,,,,16,0.5680938243015192,ORGAN_REMOVAL_ALREADY_ZERO_SUPPORT_AND_EXCLUDED_FROM_OFFICIAL_MACRO,16,0.5680938243015192,0.0,DESCRIPTIVE_SENSITIVITY_NOT_CANONICAL_REPLACEMENT,SHERLOC Legacy Keywords silver reference
