jurisdiction,fold,n,method,supported_label_count_for_macro_f1,macro_f1,micro_f1,example_jaccard,act_cpmr,means_cpmr,purpose_cpmr,status,reference_terminology
Canada,3,22,M3,16,0.5196386636812482,0.7619047619047619,0.6334915084915085,0.5909090909090909,0.5,0.8181818181818182,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Canada,3,22,M4,16,0.4273318817172082,0.7272727272727273,0.5832497048406139,0.6363636363636364,0.36363636363636365,0.8636363636363636,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Colombia,3,38,M1,16,0.45099581049731624,0.7651888341543513,0.6222293788083263,0.42105263157894735,0.21052631578947367,0.8947368421052632,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Colombia,3,38,M2,16,0.49687027597385125,0.7873754152823921,0.6588649654439129,0.4473684210526316,0.23684210526315788,0.8421052631578947,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Colombia,3,38,M3,16,0.49397845495324844,0.6987951807228916,0.5411903155324208,0.6842105263157895,0.2894736842105263,0.5526315789473685,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Colombia,3,38,M4,16,0.49264603652126304,0.7071129707112971,0.5463962937647148,0.6842105263157895,0.34210526315789475,0.6578947368421053,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Czechia,2,30,M1,16,0.4117186756966291,0.6700251889168766,0.5068229918229917,0.1,0.1,0.9333333333333333,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Czechia,2,30,M2,16,0.5616446037738141,0.6911764705882353,0.5287337662337662,0.13333333333333333,0.06666666666666667,1.0,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Czechia,2,30,M3,16,0.5299832676357067,0.7326732673267327,0.5816931216931216,0.3,0.4666666666666667,0.8666666666666667,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Czechia,2,30,M4,16,0.526167823887351,0.7241379310344828,0.5511507936507937,0.3,0.4666666666666667,0.9,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
India,2,26,M1,16,0.5321861866529043,0.8046511627906977,0.6729558902635826,0.46153846153846156,0.23076923076923078,0.8846153846153846,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
India,2,26,M2,16,0.5266057503630178,0.7731481481481481,0.6306020902174748,0.5,0.23076923076923078,0.7692307692307693,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
India,2,26,M3,16,0.490747415313417,0.6447761194029851,0.46060883560883564,0.6923076923076923,0.38461538461538464,0.7307692307692307,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
India,2,26,M4,16,0.4351413731040324,0.5820433436532507,0.41127643723797563,0.6538461538461539,0.38461538461538464,0.6538461538461539,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Philippines,2,73,M1,16,0.45043190937906363,0.7346189164370982,0.576387653442448,0.136986301369863,0.1232876712328767,0.8767123287671232,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Philippines,2,73,M2,16,0.5029691332665365,0.7161654135338346,0.5558599695585996,0.1917808219178082,0.1506849315068493,0.863013698630137,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Philippines,2,73,M3,16,0.4682895191189259,0.718192627824019,0.5560555882473691,0.4931506849315068,0.3287671232876712,0.7945205479452054,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Philippines,2,73,M4,16,0.43397992325474044,0.7025,0.546170192060603,0.6164383561643836,0.3561643835616438,0.863013698630137,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Poland,3,21,M1,16,0.47067140455581924,0.7227414330218068,0.5750601250601252,0.14285714285714285,0.23809523809523808,0.8095238095238095,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Poland,3,21,M2,16,0.5299830945681965,0.7261538461538461,0.5736328486328486,0.14285714285714285,0.047619047619047616,0.8571428571428571,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Poland,3,21,M3,16,0.4966894459692952,0.7266187050359713,0.5822255786541501,0.5238095238095238,0.47619047619047616,0.6190476190476191,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Poland,3,21,M4,16,0.49057052815045143,0.7418181818181818,0.5973837009551295,0.47619047619047616,0.42857142857142855,0.7619047619047619,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Republic of Moldova,1,57,M1,16,0.34644689008334506,0.6353240152477764,0.47503607503607503,0.0,0.017543859649122806,0.8070175438596491,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Republic of Moldova,1,57,M2,16,0.40517206810550693,0.6995768688293371,0.5458716235032025,0.03508771929824561,0.017543859649122806,0.9122807017543859,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Republic of Moldova,1,57,M3,16,0.5054798395755373,0.8403669724770643,0.7547758284600389,0.6491228070175439,0.40350877192982454,0.9649122807017544,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Republic of Moldova,1,57,M4,16,0.47605715029069795,0.8448598130841122,0.7642857142857142,0.7017543859649122,0.47368421052631576,0.9473684210526315,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Romania,1,52,M1,16,0.5386710595854085,0.7334851936218679,0.5812907178291794,0.19230769230769232,0.09615384615384616,0.5769230769230769,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Romania,1,52,M2,16,0.5667123799035412,0.7559449311639549,0.6028873903873905,0.23076923076923078,0.21153846153846154,0.8846153846153846,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Romania,1,52,M3,16,0.5239359221085291,0.744807121661721,0.5897034055687902,0.5192307692307693,0.5384615384615384,0.7115384615384616,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Romania,1,52,M4,16,0.5143043581507312,0.7381316998468607,0.5792381229881229,0.5769230769230769,0.5769230769230769,0.7692307692307693,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Serbia,1,36,M1,16,0.46331611346101315,0.711340206185567,0.562618554285221,0.1388888888888889,0.08333333333333333,0.5833333333333334,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Serbia,1,36,M2,16,0.5052026549210081,0.7327433628318584,0.5883848404681739,0.16666666666666666,0.25,0.6666666666666666,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Serbia,1,36,M3,16,0.5794889568236468,0.7478991596638656,0.6072450697450698,0.4166666666666667,0.6388888888888888,0.6944444444444444,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Serbia,1,36,M4,16,0.5273606920641956,0.7381974248927039,0.6014630431297098,0.4722222222222222,0.6111111111111112,0.7777777777777778,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Slovakia,1,48,M1,16,0.37204543037707255,0.6332882273342354,0.4618318602693603,0.0,0.125,0.9583333333333334,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Slovakia,1,48,M2,16,0.35229227289512777,0.654434250764526,0.48336865680615676,0.041666666666666664,0.125,0.9791666666666666,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Slovakia,1,48,M3,16,0.41528786789862737,0.7058823529411765,0.5538090381840383,0.20833333333333334,0.4375,0.8958333333333334,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Slovakia,1,48,M4,16,0.4258365065321493,0.7358490566037735,0.5877314814814815,0.2916666666666667,0.5416666666666666,0.9791666666666666,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Sweden,2,31,M1,16,0.45084401486376524,0.7139689578713969,0.5595605111734144,0.06451612903225806,0.22580645161290322,0.6451612903225806,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Sweden,2,31,M2,16,0.5156700937950938,0.6974595842956121,0.5404529162593678,0.0967741935483871,0.22580645161290322,0.8064516129032258,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Sweden,2,31,M3,16,0.4549306505723887,0.6994219653179191,0.5339919936694131,0.5806451612903226,0.41935483870967744,0.6451612903225806,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Sweden,2,31,M4,16,0.44265558871996835,0.69164265129683,0.5382535027696318,0.6129032258064516,0.4838709677419355,0.6774193548387096,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Ukraine,3,21,M1,16,0.49965094475496197,0.7784810126582279,0.644150690579262,0.19047619047619047,0.42857142857142855,0.7619047619047619,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Ukraine,3,21,M2,16,0.49603911740134654,0.7352941176470589,0.5857245928674499,0.47619047619047616,0.7142857142857143,0.8095238095238095,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Ukraine,3,21,M3,16,0.5504124263952893,0.7908745247148289,0.6509396687968116,0.7142857142857143,0.8095238095238095,0.7142857142857143,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
Ukraine,3,21,M4,16,0.5597199075777705,0.8046875,0.6643990929705216,0.7619047619047619,0.8571428571428571,0.8095238095238095,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
United Kingdom of Great Britain and Northern Ireland,3,24,M1,16,0.48384063927464216,0.7557840616966581,0.6107218013468013,0.20833333333333334,0.25,0.7083333333333334,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
United Kingdom of Great Britain and Northern Ireland,3,24,M2,16,0.5741823947997728,0.765625,0.6164835164835165,0.25,0.20833333333333334,0.6666666666666666,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
United Kingdom of Great Britain and Northern Ireland,3,24,M3,16,0.5217705548128342,0.723404255319149,0.5564642533392533,0.5,0.2916666666666667,0.5416666666666666,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
United Kingdom of Great Britain and Northern Ireland,3,24,M4,16,0.5448050412204823,0.750788643533123,0.6011946386946386,0.625,0.4166666666666667,0.6666666666666666,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
United States of America,3,160,M1,16,0.4219781435891599,0.6589842082799829,0.4944866765179265,0.05625,0.2,0.70625,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
United States of America,3,160,M2,16,0.4696383177036405,0.6579683131407269,0.49289320054945057,0.1,0.21875,0.8375,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
United States of America,3,160,M3,16,0.5500768417300379,0.7274725274725274,0.5803577672327672,0.4375,0.5,0.75,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
United States of America,3,160,M4,16,0.5528051252361208,0.7315968289920725,0.5884220467032967,0.55625,0.5,0.7625,DESCRIPTIVE_SMALL_N_CAUTION,SHERLOC Legacy Keywords silver reference
