cohort_id,manual_review_id,search_rank,case_title,country_or_jurisdiction,canonical_url,feature,sample_stratum,structured_reference_source,structured_reference_available,structured_reference_raw,provisional_policy_state,person_section_heading_raw,person_record_count,fact_summary_excerpt,human_feasibility_judgment,answerable_from_fact_summary,structured_narrative_case_type,ambiguity_reason,notes
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:264,264,LG- 2012-173499,Norway,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nor/2013/lg-_2012-173499.html,child_minor_involvement,clear_false_single_adult,participants.person_role,YES,Participant: Victim: F. Gender: Male Nationality: Brazilian Age: 24 Born: 1983 F. was 24-year-old when he started working in the sauna parlour in 2007.; Sidebar Offences: [],FALSE,Victims / Plaintiffs in the first instance,1,"Mr. F., a 24 year old Brazilian homosexual man, performed sexual services to male customers while working in a sauna parlour owned by Mr. J., a Norwegian 71-year-old man. J. was charged with human trafficking fo…",FALSE,YES,TYPE_1,,One identified victim; adult age agrees in both sources.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:274,274,Case n° 3692/13,Argentina,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2013/case_n_369213.html,child_minor_involvement,grouped_migrants_heading,participants.person_role,YES,"Participant: Migrant: Nationality: Bolivian / Peruvian Victim: 56 Anonymous victims, of which 1 was a minor Nationality: Bolivian / Peruvian; Sidebar Offences: []",TRUE,Migrants | Victims / Plaintiffs in the first instance,2,"…e dedicated to the production of garments, and through which the defendants allegedly exploited and subjected fifty-seven persons to forced labour. The aforementioned cooperative operated from three different dwellings, in which the defendants had set up three textile workshops that manufactured garments for different…",TRUE,NO,TYPE_2,Fact Summary gives no age/minor evidence.,Preserves the unusual Migrants heading and a separate grouped victim record.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:304,304,Samaesan,Thailand,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2013/samaesan.html,child_minor_involvement,structured_true_narrative_missing,participants.person_role,YES,Participant: …ictim: C.T. Gender: Male Nationality: Of Myanmar Victim: M.T. Gender: Child Nationality: Of Myanmar Age: 12 Born: 2000 Victim: T.P. Gender: Child Nationality: Of Myanmar Age: 16 Born: 1996 Victim: J.T. Gender: Child Nationality: Of Myanmar Age: 17 Born: 1995 Victim: M.J. Gender: Male Nationality:…; Sidebar Offences: [],TRUE,Victims / Plaintiffs in the first instance,9,"All of the victims and some other Myanmar citizens wanted to work in Thailand. They – therefore – contacted a Myanmar middleman, who helped them enter Thailand illegally. In return, each victim had to pay the…",TRUE,NO,TYPE_2,Fact Summary identifies victim ordinals but omits their ages.,"Three participant records are explicitly ages 12, 16, and 17."
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:320,320,"Ledesma, Pedro Alberto y otras",Argentina,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/ledesma_pedro_alberto_y_otras.html,child_minor_involvement,unknown_victims_have_children,participants.person_role + trafficking_sidebar.offences,YES,"Participant: Victim: M.B.C. Gender: Female Nationality: Argentine Victim 1 has two children, and she financially supports her family. She was sexually exploited before. Victim: M.V.T. Gender: Female Nationality: Dominican Victim 2 has four children living in Dominican Republic. Vi…; Sidebar Offences: [""Trafficking in persons (adults)""]",UNKNOWN,Victims / Plaintiffs in the first instance,7,"… in an economic and social situation of vulnerability, supporting financially their families, being single mothers, with migrant status and not possessing formal education. One of the defendants, M.C., was partner of the other defendant, Pedro Alberto Ledesma. M.C. was charged with trafficking her own t…",UNKNOWN,NO,TYPE_2,Victims having children does not establish their own ages; adult-only Sidebar tag is not accepted as exhaustive.,Woman/mother terminology is not automatically adult under the audit rule.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:367,367,11-194827MED-BBYR/01,Norway,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nor/2012/11-194827med-bbyr01.html,child_minor_involvement,clear_true_grouped_range,participants.person_role,YES,Participant: Victim: Four anonymous young girls aged 13-16 Gender: Child; Sidebar Offences: [],TRUE,Victims / Plaintiffs in the first instance,1,"…tizens operated within an extended Roma family group, and exploited four young girls in the family, aged between 13 and 16, in shop-lifting, begging and sale of false gold jewellery. For one of the victims, the case also involved forced marriage and complicity to rape committed against her in Romania.",TRUE,YES,TYPE_1,,Group size and under-18 range agree.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:370,370,Expte. 18/11,Argentina,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/expte._1811.html,child_minor_involvement,temporal_age_mismatch,participants.person_role,YES,Participant: …nder: Female Nationality: Argentine Age: 25 Victim: S.C.R.D. Gender: Female Nationality: Paraguayan Age: 21; Sidebar Offences: [],UNKNOWN,Victims / Plaintiffs in the first instance,2,"…he 3rd of Debember 2009, to work in “passes” and “drinks”. She said that she had been there before, when she was 17 years old (April 2006). On that occasion, a man had offered her to come to Buenos Aires to work at a bar, he had asked her to bring a friend and had promised her she would make a lot of money. This m…",TRUE,YES,TYPE_2,Current/recorded adult age obscures minor status during earlier exploitation.,"Age must be anchored to trafficking time, not page/trial time."
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:418,418,R v. N. and R v. Le,United Kingdom of Great Britain and Northern Ireland,https://www.unodc.org/cld/case-law-doc/drugcrimetype/gbr/2012/r_v._n._and_r_v._le.html,child_minor_involvement,narrative_true_structured_missing,NONE,NO,Participant: SECTION_ABSENT; Sidebar Offences: [],UNKNOWN,,0,"…ining order for 18 months. During a hearing in 2009, N. said that his date of birth was April 1992. This meant that he was a child at the time of arrest. It also appeared that N. had been smuggled into the United Kingdom on the basis that his parents had funded his journey to what was hoped would be a life with better …",TRUE,YES,TYPE_3,,No participant section; narrative explicitly establishes child status.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:452,452,"United States v. Webster, Case No 08-30311",United States of America,https://www.unodc.org/cld/case-law-doc/drugcrimetype/usa/2011/united_states_v._webster_case_no_08-30311.html,child_minor_involvement,clear_true_mixed_group,participants.person_role,YES,"Participant: Victim: At least five children and six adult females Gender: Female The youngest victim was 13 years old. The victims were particularly vulnerable (homeless or runaway girls and women, or women working at low-income jobs…; Sidebar Offences: []",TRUE,Victims / Plaintiffs in the first instance,1,"…al prostitution business in the Anchorage area of Alaska. Webster targeted and recruited vulnerable adult and minor females who were homeless, in low-paying jobs or runaways, and invited them to work for his purported ""escort services"", where an individual would supposedly pay for another person’s ""time and comp…",TRUE,YES,TYPE_1,,Single record combines child and adult victims.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:476,476,Case No. 11-1602-2011,Ukraine,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ukr/2011/case_no._11-1602-2011.html,child_minor_involvement,structured_true_vague_narrative,participants.person_role,YES,Participant: Victim: 6 Anonymous women Gender: Female Victim: 1 Anonymous child Gender: Child; Sidebar Offences: [],TRUE,Victims / Plaintiffs in the first instance,2,"The defendant was involved in an organised criminal group which recruited young women in Ukraine, transported them and transferred them to Istanbul, Turkey, for commercial sexual exploitation. The young women were in difficult family or personal circumstances and were deceiv…",TRUE,NO,TYPE_2,Young is not a defensible child indicator.,Participant source explicitly distinguishes six women and one child.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:480,480,Causa 2422,Argentina,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2011/causa_2422.html,child_minor_involvement,narrative_false_structured_missing,participants.person_role,NO,Participant: Victim: M. R. L. Gender: Female Nationality: Paraguayan Victim: A. S. D. Gender: Female Nationality: Paraguayan Victim: C. R. F. Gender: Female Nationality: Paraguayan Victim: N. E. M. O. Gender: Female Nationality: Parag…; Sidebar Offences: [],UNKNOWN,Victims / Plaintiffs in the first instance,11,"…17, 2009 to M. R. L., A. S. D., C. R. F. R., N. E. M. O. L. A. P., M. E. F. G., N. N., M. L. G. G., all women are adults and from Paraguay, and A. S. S., also adult and from Dominican Republic; and 2) prior to February 26, 2009 to R. R. P. and M. C. A. S., both women were adults and from Paraguay; mediating i…",FALSE,YES,TYPE_3,,Eleven records lack ages; narrative explicitly states all are adults.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:489,489,United States v. Medrano,United States of America,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2011/united_states_v._medrano.html,child_minor_involvement,clear_true_grouped,participants.person_role,YES,Participant: Victim: 6 Anonymous Gender: Female Nationality: Honduran Victim: 4 Anonymous Gender: Child; Sidebar Offences: [],TRUE,Victims / Plaintiffs in the first instance,2,"…week plus tips, and lived the apartments where they were virtually imprisoned. The women, including at least four juveniles who obtained false identification, would get the male patrons to buy beers for themselves and the women, and would dance with the patrons for $3 a dance. After rescue, the women stated that…",TRUE,YES,TYPE_1,,Participant grouping and narrative juvenile count support TRUE.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:509,509,Case N 2338,Argentina,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2011/case_n_2338.html,child_minor_involvement,narrative_false_grouped,participants.person_role,NO,Participant: Victim: 15 Women (10 Paraguayan and 5 Argentine) Gender: Female Nationality: Paraguayan; Sidebar Offences: [],UNKNOWN,Victims / Plaintiffs in the first instance,1,"…lcomed the victims at brothel: 1) prior to August 27, 2008 to M.E.E., E.S.C.A., E.R.O., C.C., O.E., all women are adults and from Paraguay, and V.M.R. and C.M.P., also adults and from Argentina; 2) prior to September 5, 2008 to G.P.P., N.F.B., T.M.V., all women are adults and from Paraguay; and G.E. and M.R.R…",FALSE,YES,TYPE_3,,Grouped participant record lacks age; narrative explicitly states all are adults.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:546,546,Case no B 87-11,Sweden,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swe/2011/case_no_b_87-11.html,child_minor_involvement,hedged_age,participants.person_role,YES,Participant: Victim: Individual 1 Gender: Child Nationality: Nigerian Born: 1993 It is likely the victim was under 18 when the crime took place. Victim: Anonymous 2 Gender: Female Nationality: Nigerian It appears that she turned 22 years old in November 2010 Victim: Individual 3 Gender: Female Nationality:…; Sidebar Offences: [],UNKNOWN,Victims / Plaintiffs in the first instance,4,"…The Svea Court of Appeal made the same assessment. The Defendants had been using voodoo to frighten a dozen African women into prostitution through voodoo rituals. Medicine Men had used ancient curses, slaughtered animals and drums. The women had to take an oath to reimburse travel costs for tens of thousands …",UNKNOWN,NO,TYPE_2,Likely is not a definitive age finding and the narrative omits age.,Requires adjudication or a clearer legal finding.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:551,551,PenalCriminal Case No. 175/2010,Mexico,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mex/2011/penalcriminal_case_no._1752010_.html,child_minor_involvement,clear_false_single_adult,participants.person_role,YES,Participant: Victim: Anonymous victim Gender: Female Nationality: Colombian Age: 67; Sidebar Offences: [],FALSE,Victims / Plaintiffs in the first instance,1,"On December 23rd of 2009, the victim, a 67 year old Colombian woman, stood before the FEVIMTRA-RMP (Special Prosecutor for Crimes of Violence against Women and Trafficking), accompanied by a staff member of the Consulate of Colombia in Mexic…",FALSE,YES,TYPE_1,,One identified victim; adult age agrees in both sources.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:582,582,K.br. 4/10,Serbia,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/srb/2011/k.br._410_.html,child_minor_involvement,clear_true_numeric_age,participants.person_role,YES,Participant: Victim: N.P. Gender: Female Nationality: Serbian Age: 15 Born: 1988; Sidebar Offences: [],TRUE,Victims / Plaintiffs in the first instance,1,"… Vranje by bus and was met by the first and the second accused at the local bus stop. She told them she was a minor and showed them her health card. The first accused took her into an apartment where she heard the first accused talking on the phone with someone, looking for a way to get her a Bulgarian p…",TRUE,YES,TYPE_1,,Numeric age and explicit narrative wording agree.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:604,604,Shiva Ent Udyog v. National Human Rights Commission and Ors,India,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ind/2011/shiva_ent_udyog_v._national_human_rights_commission_and_ors.html,child_minor_involvement,plaintiff_not_victim,participants.person_role,NO,"Participant: Plaintiff: Shiva Ent Udyog Petitioner is an Indian firm, engaged in the business of running a brick kiln; Sidebar Offences: []",UNKNOWN,Victims / Plaintiffs in the first instance,1,"…siness of running a brick kiln situated in a village in the State of Uttar Pradesh. Several persons including minor children made a complaint to the National Human Rights Commission (NHRC), alleging that they, along with their family members, were held as bonded labourers by the owners of the brick kiln. The comp…",TRUE,YES,TYPE_3,,"The only structured person is the petitioner firm, not the bonded-labour victims."
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:633,633,"Quiroa, Diaz & Muñoz",Guatemala,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gtm/2010/quiroa_diaz_munoz.html,child_minor_involvement,narrative_true_age_missing,participants.person_role,NO,Participant: Victim: Anonymous 1-6 Gender: Female; Sidebar Offences: [],UNKNOWN,Victims / Plaintiffs in the first instance,1,"On 23 November 2006, in the city of Jalapa, the defendants abducted six underage girls coming from three different families. The defendants had previous ties to the children’s families. They drove them to the city of Guatemala, where they remained for several days, with the i…",TRUE,YES,TYPE_3,,Participant record lacks age; narrative supplies it.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:643,643,CRIM. CASE NO. 09-0366,Philippines,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2010/crim._case_no._09-0366_.html,child_minor_involvement,structured_narrative_scope_mismatch,participants.person_role,YES,Participant: Victim: M.R.A. Gender: Female Age: 20 (at time of crime) Victim: M.J.F. Gender: Female Age: 22 (at time of crime) Victim: S.R.M. Gender: Female Age: 25 (at time of crime) Victim: F.F.B. Gender: Female Age: 23 (at time of crime)…; Sidebar Offences: [],UNKNOWN,Victims / Plaintiffs in the first instance,6,"…2, Las Pinas City as a front for prostitution and pornographic performances, utilising innocent and minor females recruited from Samar, Leyte, Surigao del Sur, Davao City and other parts of the country, on the pretext of giving them decent jobs. A surveillance operation was undertaken at approximately …",UNKNOWN,AMBIGUOUS,TYPE_2,"Narrative report mentions minor recruits, but the six adjudicated trafficked persons are recorded as ages 20–25.",It is unclear whether the minors belong to the relevant victim set.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:781,781,United States v. Mahender Murlidhar Sabhnani and Varsha Mahender Sabhnani,United States of America,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2010/united_states_v._mahender_murlidhar_sabhnani_and_varsha_mahender_sabhnani_.html,child_minor_involvement,clear_false_multiple_adults,participants.person_role,YES,Participant: Victim: S. Gender: Female Nationality: Indonesian Age: 53 Victim: E. Gender: Female Nationality: Indonesian Age: 47; Sidebar Offences: [],FALSE,Victims / Plaintiffs in the first instance,2,"The 1st victim, a 53 year old woman from Indonesia, was arranged to travel to the US by the 2nd defendant’s mother, “Mrs. Joti”, in order to work in the US as a domestic servant for $ 200 per month. She was a rice vender who …",FALSE,YES,TYPE_1,,"Both victim ages, 53 and 47, are repeated in the narrative."
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:824,824,Case n 2271,Argentina,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2010/case_n_2271.html,child_minor_involvement,narrative_true_participants_absent,NONE,NO,Participant: SECTION_ABSENT; Sidebar Offences: [],UNKNOWN,,0,"…brothel. Most of the individuals who were exploited there were female foreigners over 18 years old, except for one minor who was from Paraguay. The victims were sexually exploited and men paid for their services. In addition, the respondents were Gloria and Raul. Gloria ran the brothel while Raul was the owne…",TRUE,YES,TYPE_3,,No participant section; narrative explicitly identifies one minor victim.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:850,850,United States v. Christopher M. Cockrell,United States of America,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2009/united_states_v._christopher_m._cockrell.html,child_minor_involvement,attempt_no_actual_child,participants.person_role + trafficking_sidebar.offences,YES,"Participant: Victim: Gender: Child Age: 15 No actual child was used in the undercover investigation or actually trafficked in this case.; Sidebar Offences: [""Trafficking in children (under 18 years)""]",FALSE,Victims / Plaintiffs in the first instance,1,"The defendant, Christopher M. Cockrell, pled guilty to attempted child sex trafficking after an undercover police investigation revealed that the defendant had solicited to have sex with a minor using the internet. In March 2009, in Amory, Missouri (MO), the defendant responded to an ad on Craigslist.org soliciting …",FALSE,YES,TYPE_1,Child/Age fields and child-offence tag are misleading unless the source remark is retained.,Attempt case explicitly states that no actual child was used or trafficked.
sherloc-tip-2026-08-09-en-legacy-amp-complete-n1263-097ce2027171ebc9,child_minor_involvement:889,889,ACR 2006.72.03.003070-2 TRF4,Brazil,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2009/acr_2006.72.03.003070-2_trf4.html,child_minor_involvement,disputed_age,participants.person_role + trafficking_sidebar.offences,YES,"Participant: …male Nationality: Paraguayan Victim: Anonymous girl Gender: Child Nationality: Paraguayan There are doubts as whether she was a child or not at the time of crime; Sidebar Offences: [""Trafficking in persons (adults)""]",UNKNOWN,Victims / Plaintiffs in the first instance,2,"…uay to exercise prostitution, sometimes through the use of fraud. One of these trafficked women was apparently a teenager. The accused were two men, DIRLEI DE OLIVEIRA and JOSÉ ARTEMÉDIO PEREIRA, and a Paraguayan woman, GLORIS MARLENE MERELES. According to the prosecutor, DIRLEI and JOSÉ took advantage of the …",UNKNOWN,AMBIGUOUS,TYPE_2,Both sources hedge child status.,Teenager can include ages 18–19; explicit doubt must be preserved.
