method,jurisdiction,fold,macro_f1,micro_f1,exact_set_accuracy,example_jaccard,act_cpmr,act_mean_contained_recall,means_cpmr,means_mean_contained_recall,purpose_cpmr,purpose_mean_contained_recall,test_n,macro_label_count,reference_terminology
M2,Australia,1,0.5557177928991877,0.7908309455587392,0.05,0.6572777222777223,0.5,0.9000000000000001,0.65,0.7820512820512822,0.75,0.7722222222222223,20,16,SHERLOC Legacy Keywords silver reference
M2,Belgium,2,0.4532036277988161,0.6472303206997084,0.0,0.48163930976430974,0.125,0.7166666666666667,0.125,0.9166666666666666,0.5416666666666666,0.8846153846153846,24,16,SHERLOC Legacy Keywords silver reference
M2,Brazil,2,0.41466500951213126,0.669889502762431,0.0,0.5060702512158822,0.0970873786407767,0.9666666666666666,0.038834951456310676,0.9166666666666666,0.9223300970873787,0.9947368421052631,103,16,SHERLOC Legacy Keywords silver reference
M2,Canada,3,0.39400257277532064,0.6750788643533123,0.0,0.5206201626656172,0.13636363636363635,0.8666666666666667,0.18181818181818182,0.8125,0.9090909090909091,0.975,22,16,SHERLOC Legacy Keywords silver reference
M2,Colombia,3,0.49687027597385125,0.7873754152823921,0.05263157894736842,0.6588649654439129,0.4473684210526316,0.9647058823529411,0.23684210526315788,0.8851851851851851,0.8421052631578947,0.9375,38,16,SHERLOC Legacy Keywords silver reference
M2,Czechia,2,0.5616446037738141,0.6911764705882353,0.0,0.5287337662337662,0.13333333333333333,0.9375,0.06666666666666667,1.0,1.0,0.9888888888888889,30,16,SHERLOC Legacy Keywords silver reference
M2,India,2,0.5266057503630178,0.7731481481481481,0.0,0.6306020902174748,0.5,1.0,0.23076923076923078,0.7916666666666666,0.7692307692307693,0.975,26,16,SHERLOC Legacy Keywords silver reference
M2,Philippines,2,0.5029691332665365,0.7161654135338346,0.0,0.5558599695585996,0.1917808219178082,0.8452380952380951,0.1506849315068493,0.7318181818181819,0.863013698630137,0.9497354497354498,73,16,SHERLOC Legacy Keywords silver reference
M2,Poland,3,0.5299830945681965,0.7261538461538461,0.0,0.5736328486328486,0.14285714285714285,0.9333333333333332,0.047619047619047616,0.6,0.8571428571428571,0.9444444444444444,21,16,SHERLOC Legacy Keywords silver reference
M2,Republic of Moldova,1,0.40517206810550693,0.6995768688293371,0.0,0.5458716235032025,0.03508771929824561,1.0,0.017543859649122806,1.0,0.9122807017543859,0.9903846153846154,57,16,SHERLOC Legacy Keywords silver reference
M2,Romania,1,0.5667123799035412,0.7559449311639549,0.0,0.6028873903873905,0.23076923076923078,0.8444444444444446,0.21153846153846154,0.8348484848484848,0.8846153846153846,0.9239130434782609,52,16,SHERLOC Legacy Keywords silver reference
M2,Serbia,1,0.5052026549210081,0.7327433628318584,0.027777777777777776,0.5883848404681739,0.16666666666666666,0.7888888888888889,0.25,0.7888888888888889,0.6666666666666666,0.9375,36,16,SHERLOC Legacy Keywords silver reference
M2,Slovakia,1,0.35229227289512777,0.654434250764526,0.0,0.48336865680615676,0.041666666666666664,1.0,0.125,0.5555555555555556,0.9791666666666666,0.9893617021276596,48,16,SHERLOC Legacy Keywords silver reference
M2,Sweden,2,0.5156700937950938,0.6974595842956121,0.0,0.5404529162593678,0.0967741935483871,0.9333333333333332,0.22580645161290322,0.869047619047619,0.8064516129032258,0.9866666666666666,31,16,SHERLOC Legacy Keywords silver reference
M2,Ukraine,3,0.49603911740134654,0.7352941176470589,0.0,0.5857245928674499,0.47619047619047616,0.7333333333333333,0.7142857142857143,0.6666666666666665,0.8095238095238095,1.0,21,16,SHERLOC Legacy Keywords silver reference
M2,United Kingdom of Great Britain and Northern Ireland,3,0.5741823947997728,0.765625,0.0,0.6164835164835165,0.25,0.9666666666666667,0.20833333333333334,0.95,0.6666666666666666,0.9375,24,16,SHERLOC Legacy Keywords silver reference
M2,United States of America,3,0.4696383177036405,0.6579683131407269,0.0125,0.49289320054945057,0.1,0.8822916666666667,0.21875,0.7314285714285713,0.8375,0.8917910447761194,160,16,SHERLOC Legacy Keywords silver reference
M3,Argentina,1,0.547770494886032,0.7762863534675615,0.05333333333333334,0.632971398971399,0.5866666666666667,0.7613636363636364,0.56,0.8412698412698412,0.8266666666666667,0.9758064516129032,75,16,SHERLOC Legacy Keywords silver reference
M3,Australia,1,0.6090251592089827,0.7288629737609329,0.0,0.540868437118437,0.55,0.7954545454545453,0.45,0.8462962962962962,0.35,0.8571428571428571,20,16,SHERLOC Legacy Keywords silver reference
M3,Belgium,2,0.5727127498726764,0.728,0.08333333333333333,0.5751908970658971,0.75,0.8240740740740741,0.5,0.8194444444444443,0.625,0.9,24,16,SHERLOC Legacy Keywords silver reference
M3,Brazil,2,0.42315765948141676,0.6548488008342023,0.0,0.48116147606438864,0.47572815533980584,0.7275510204081632,0.17475728155339806,0.7777777777777778,0.8640776699029126,0.9943820224719101,103,16,SHERLOC Legacy Keywords silver reference
M3,Canada,3,0.5196386636812482,0.7619047619047619,0.045454545454545456,0.6334915084915085,0.5909090909090909,0.7615384615384614,0.5,0.7196969696969697,0.8181818181818182,1.0,22,16,SHERLOC Legacy Keywords silver reference
M3,Colombia,3,0.49397845495324844,0.6987951807228916,0.02631578947368421,0.5411903155324208,0.6842105263157895,0.7121794871794871,0.2894736842105263,0.7212121212121212,0.5526315789473685,0.9285714285714286,38,16,SHERLOC Legacy Keywords silver reference
M3,Czechia,2,0.5299832676357067,0.7326732673267327,0.06666666666666667,0.5816931216931216,0.3,0.7222222222222222,0.4666666666666667,0.8452380952380951,0.8666666666666667,0.9743589743589745,30,16,SHERLOC Legacy Keywords silver reference
M3,India,2,0.490747415313417,0.6447761194029851,0.0,0.46060883560883564,0.6923076923076923,0.6490740740740741,0.38461538461538464,0.4899999999999999,0.7307692307692307,0.9736842105263158,26,16,SHERLOC Legacy Keywords silver reference
M3,Philippines,2,0.4682895191189259,0.718192627824019,0.0410958904109589,0.5560555882473691,0.4931506849315068,0.7976851851851852,0.3287671232876712,0.6347222222222222,0.7945205479452054,0.9655172413793104,73,16,SHERLOC Legacy Keywords silver reference
M3,Poland,3,0.4966894459692952,0.7266187050359713,0.0,0.5822255786541501,0.5238095238095238,0.7333333333333333,0.47619047619047616,0.8966666666666667,0.6190476190476191,0.9615384615384616,21,16,SHERLOC Legacy Keywords silver reference
M3,Republic of Moldova,1,0.5054798395755373,0.8403669724770643,0.2631578947368421,0.7547758284600389,0.6491228070175439,0.9639639639639639,0.40350877192982454,1.0,0.9649122807017544,1.0,57,16,SHERLOC Legacy Keywords silver reference
M3,Romania,1,0.5239359221085291,0.744807121661721,0.0,0.5897034055687902,0.5192307692307693,0.8074074074074075,0.5384615384615384,0.7047619047619047,0.7115384615384616,0.9324324324324325,52,16,SHERLOC Legacy Keywords silver reference
M3,Serbia,1,0.5794889568236468,0.7478991596638656,0.027777777777777776,0.6072450697450698,0.4166666666666667,0.8533333333333334,0.6388888888888888,0.7318840579710146,0.6944444444444444,1.0,36,16,SHERLOC Legacy Keywords silver reference
M3,Slovakia,1,0.41528786789862737,0.7058823529411765,0.020833333333333332,0.5538090381840383,0.20833333333333334,0.95,0.4375,0.5968253968253969,0.8958333333333334,0.9883720930232558,48,16,SHERLOC Legacy Keywords silver reference
M3,Sweden,2,0.4549306505723887,0.6994219653179191,0.0,0.5339919936694131,0.5806451612903226,0.7138888888888889,0.41935483870967744,0.7564102564102563,0.6451612903225806,1.0,31,16,SHERLOC Legacy Keywords silver reference
M3,Ukraine,3,0.5504124263952893,0.7908745247148289,0.0,0.6509396687968116,0.7142857142857143,0.9311111111111111,0.8095238095238095,0.5637254901960783,0.7142857142857143,1.0,21,16,SHERLOC Legacy Keywords silver reference
M3,United Kingdom of Great Britain and Northern Ireland,3,0.5217705548128342,0.723404255319149,0.0,0.5564642533392533,0.5,0.7263888888888889,0.2916666666666667,0.7738095238095237,0.5416666666666666,0.9102564102564101,24,16,SHERLOC Legacy Keywords silver reference
M3,United States of America,3,0.5500768417300379,0.7274725274725274,0.04375,0.5803577672327672,0.4375,0.7733333333333333,0.5,0.7691666666666667,0.75,0.9222222222222223,160,16,SHERLOC Legacy Keywords silver reference
M4,Argentina,1,0.5341492727921293,0.7670915411355735,0.04,0.6268066378066377,0.64,0.7465277777777778,0.5866666666666667,0.8106060606060606,0.8666666666666667,0.9769230769230769,75,16,SHERLOC Legacy Keywords silver reference
M4,Australia,1,0.6063764333881796,0.7272727272727273,0.0,0.5350040237540237,0.6,0.7541666666666665,0.4,0.76875,0.55,0.9090909090909091,20,16,SHERLOC Legacy Keywords silver reference
M4,Belgium,2,0.5662362066412073,0.7257383966244726,0.08333333333333333,0.561038961038961,0.7083333333333334,0.7794117647058822,0.5833333333333334,0.8035714285714286,0.6666666666666666,0.90625,24,16,SHERLOC Legacy Keywords silver reference
M4,Brazil,2,0.42494424030236455,0.6437291897891232,0.009708737864077669,0.4631243082699394,0.5242718446601942,0.6820987654320988,0.20388349514563106,0.8015873015873015,0.8446601941747572,0.9942528735632183,103,16,SHERLOC Legacy Keywords silver reference
M4,Canada,3,0.4273318817172082,0.7272727272727273,0.0,0.5832497048406139,0.6363636363636364,0.713095238095238,0.36363636363636365,0.6979166666666666,0.8636363636363636,0.9736842105263158,22,16,SHERLOC Legacy Keywords silver reference
M4,Colombia,3,0.49264603652126304,0.7071129707112971,0.0,0.5463962937647148,0.6842105263157895,0.7115384615384616,0.34210526315789475,0.6461538461538462,0.6578947368421053,0.96,38,16,SHERLOC Legacy Keywords silver reference
M4,Czechia,2,0.526167823887351,0.7241379310344828,0.03333333333333333,0.5511507936507937,0.3,0.7925925925925926,0.4666666666666667,0.8095238095238094,0.9,0.9876543209876543,30,16,SHERLOC Legacy Keywords silver reference
M4,India,2,0.4351413731040324,0.5820433436532507,0.0,0.41127643723797563,0.6538461538461539,0.603921568627451,0.38461538461538464,0.5316666666666665,0.6538461538461539,1.0,26,16,SHERLOC Legacy Keywords silver reference
M4,Philippines,2,0.43397992325474044,0.7025,0.0410958904109589,0.546170192060603,0.6164383561643836,0.7259259259259259,0.3561643835616438,0.6756410256410257,0.863013698630137,0.9656084656084657,73,16,SHERLOC Legacy Keywords silver reference
M4,Poland,3,0.49057052815045143,0.7418181818181818,0.047619047619047616,0.5973837009551295,0.47619047619047616,0.8066666666666666,0.42857142857142855,0.8851851851851852,0.7619047619047619,0.9375,21,16,SHERLOC Legacy Keywords silver reference
M4,Republic of Moldova,1,0.47605715029069795,0.8448598130841122,0.2807017543859649,0.7642857142857142,0.7017543859649122,0.9541666666666666,0.47368421052631576,0.9629629629629629,0.9473684210526315,1.0,57,16,SHERLOC Legacy Keywords silver reference
M4,Romania,1,0.5143043581507312,0.7381316998468607,0.0,0.5792381229881229,0.5769230769230769,0.7622222222222222,0.5769230769230769,0.7277777777777777,0.7692307692307693,0.9375,52,16,SHERLOC Legacy Keywords silver reference
M4,Serbia,1,0.5273606920641956,0.7381974248927039,0.05555555555555555,0.6014630431297098,0.4722222222222222,0.8166666666666667,0.6111111111111112,0.712121212121212,0.7777777777777778,1.0,36,16,SHERLOC Legacy Keywords silver reference
M4,Slovakia,1,0.4258365065321493,0.7358490566037735,0.0,0.5877314814814815,0.2916666666666667,0.9404761904761905,0.5416666666666666,0.5955128205128205,0.9791666666666666,0.9893617021276596,48,16,SHERLOC Legacy Keywords silver reference
M4,Sweden,2,0.44265558871996835,0.69164265129683,0.06451612903225806,0.5382535027696318,0.6129032258064516,0.7201754385964912,0.4838709677419355,0.7,0.6774193548387096,1.0,31,16,SHERLOC Legacy Keywords silver reference
M4,Ukraine,3,0.5597199075777705,0.8046875,0.0,0.6643990929705216,0.7619047619047619,0.8729166666666666,0.8571428571428571,0.5509259259259259,0.8095238095238095,1.0,21,16,SHERLOC Legacy Keywords silver reference
M4,United Kingdom of Great Britain and Northern Ireland,3,0.5448050412204823,0.750788643533123,0.0,0.6011946386946386,0.625,0.6577777777777778,0.4166666666666667,0.7666666666666666,0.6666666666666666,0.9479166666666666,24,16,SHERLOC Legacy Keywords silver reference
M4,United States of America,3,0.5528051252361208,0.7315968289920725,0.075,0.5884220467032967,0.55625,0.7808988764044944,0.5,0.7789583333333333,0.7625,0.9344262295081968,160,16,SHERLOC Legacy Keywords silver reference
