reliability_case_id,reviewer_order,search_rank,case_title,canonical_url,jurisdiction,reviewed,review_status,exclusion_reason,done_raw,annotation_notes,source_file,source_sha256,source_row_number,input_sha256
HRV1-063,63,781,United States v. Mahender Murlidhar Sabhnani and Varsha Mahender Sabhnani,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2010/united_states_v._mahender_murlidhar_sabhnani_and_varsha_mahender_sabhnani_.html,United States of America,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,64,1b969631b64e7645b387288c4ae5c303e53401e7ed5570b2d3e271317393f280
HRV1-064,64,984,18/A/2009,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/rou/2009/18a2009.html,Romania,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,65,a169ab079958a46c6164055b0f9f1df9b88393a8173a8d1ae4ba1685f5034169
HRV1-066,66,195,Cardaci Y Mossolini,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2014/cardaci_y_mossolini.html,Argentina,1,SKIP,REVIEWER_SKIP,1,Skip,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,67,42b45a0002af63e0bb556f23ec66c6d0ca63f9bc9a769a3338fe134856a50e46
HRV1-073,73,274,Case n° 3692/13,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2013/case_n_369213.html,Argentina,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,74,fff1fff4829fae599874e8383217be21eff5e0c654a349a0d8568156d5f88c8c
HRV1-074,74,320,"Ledesma, Pedro Alberto y otras",https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/ledesma_pedro_alberto_y_otras.html,Argentina,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,75,821715c08afbe537854285516898fac787f0efbccf38d1f88370a1d5c807505a
HRV1-075,75,489,United States v. Medrano,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2011/united_states_v._medrano.html,United States of America,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,76,c9d9dd85dee44c07382285ef0a79ff3374cfeadbf603f03e0b37eec901d387e9
HRV1-076,76,452,"United States v. Webster, Case No 08-30311",https://www.unodc.org/cld/case-law-doc/drugcrimetype/usa/2011/united_states_v._webster_case_no_08-30311.html,United States of America,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,77,dd4302517b162e528854d2b2548cb9dfa074f5c1158327c14d9481cd4eff3fe8
HRV1-079,79,476,Case No. 11-1602-2011,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ukr/2011/case_no._11-1602-2011.html,Ukraine,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,80,712884311dec0a88dda04314f1f21d1c3b10a4ff6358e43f1eb5ef2137e93848
HRV1-080,80,1356,R v DS (2005),https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aus/2005/r_v_ds_2005.html,Australia,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,81,0cb20cc9e5d530d0cf90c174132d6f07b8c3b57e0fe185d07e5fb52de51cfebf
HRV1-081,81,824,Case n 2271,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2010/case_n_2271.html,Argentina,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,82,1b1c1362c7ca5cd7939d9d623bb05517e7c7115d8d4f70cf8d0f0e03a9378af5
HRV1-082,82,817,Case No. 694/2010,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bgr/2010/case_no._6942010.html,Bulgaria,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,83,abc2c33b34088a788b742bd3f951a71c782fa94e6ff0bccf36960e091b3656d7
HRV1-083,83,177,Calle Calle et. al.,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2014/calle_calle_et._al..html,Argentina,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,84,117081968e2429f30279b7a1d10e2b633d79402c4ed9191cdbdedd66fd01b466
HRV1-084,84,940,Processo 5/02.7ZRC,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/prt/2009/processo_502.7zrc.html,Portugal,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,85,1ea14a03bc8bffbca7d4f07048e0f8bb7fe741b3682c664e9e285ba22f0b26b4
HRV1-085,85,755,C. Hervé et D. Abdelaziz,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/fra/2010/c._herve_et_d._abdelaziz.html,France,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,86,5e1c665d3e489f833576c614d3c644059b33a976818829e44bc450657f846e5e
HRV1-086,86,1464,1028 k/PID SUS/2009,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/idn/1998/_1028_kpid_sus2009_.html,Indonesia,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,87,adb1f5c8d093a5d7d16a25d58c9b3876d49a8999b6228e45950a7e586acbacb9
HRV1-087,87,29,R. v. Sinclair,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2020/r._v._sinclair.html,Canada,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,88,2b588ae536d56cb266eb1e3bb4bcdc0e9584422750d16a01cbcb1d94c2368755
HRV1-088,88,266,"L., H.V.N., T.H.N., and T. v R [2013] EWCA Crim 991",https://www.unodc.org/cld/case-law-doc/drugcrimetype/gbr/2013/l._h.v.n._t.h.n._and_t._v_r_2013_ewca_crim_991.html,United Kingdom of Great Britain and Northern Ireland,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,89,6aed52e4268a45a616d29a1cde18e146253de0fbc59e774cc1def6befb2f2901
HRV1-089,89,17,"Case No. 20-0434, Supreme Court of Texas",https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2021/case_no._20-0434_supreme_court_of_texas.html,United States of America,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,90,b13ca49cb66184b5fb430a53e522018444845001e7130d73198d7e9eb564070c
HRV1-090,90,46,"Appeal of the Court of First Instance of Liège, 2019/858",https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bel/2019/appeal_of_the_court_of_first_instance_of_liege_2019858.html,Belgium,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,91,b84e2fd64f90b4e1c5fc346f32ddc162e920be1849d913264a736d2a9d97ff8e
HRV1-091,91,764,Decision No.403,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/alb/2010/decision_no.403.html,Albania,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,92,3cceb6cec61edb800f4f387b4504df19a3fd14db7d21e1c7fd258f0b8e7a11ad
HRV1-092,92,79,Case A26/2014,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/zaf/2017/case_a262014.html,South Africa,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,93,ec19be15815dfdb2c0ac99d7c3c02ab69c17455ab7631154ba784870fd238c58
HRV1-093,93,1153,Processo 2004.61.06.004897-4 18682,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/bra/2008/processo_2004.61.06.004897-4_18682.html,Brazil,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,94,aa54736a776f6efd721d4ace2d9a5a4f1ed563c98cd14525d1ab2bd42d887d6d
HRV1-094,94,643,CRIM. CASE NO. 09-0366,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2010/crim._case_no._09-0366_.html,Philippines,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,95,83147e620ff2154d74f9dbfb5df27eb9a1075ec049f891d3d14258fbea904eb1
HRV1-095,95,933,Case No. 848-2009,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gtm/2009/case_no._848-2009_.html,Guatemala,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,96,27bf90ef2cc119f6c4ece965cabbbf9d2d37c37312dbc21f36527e4b20b6a541
HRV1-096,96,254,"United States v. Vargas-Cordon, 733 F.3d 366 (2013)",https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/usa/2013/united_states_v._vargas-cordon_733_f.3d_366_2013.html,United States of America,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,97,db475ae6a6cd580bf26eff9893dbfed5759935a3961356fb711a8a05f0d964de
HRV1-097,97,145,Chisinau 0615,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mda/2015/chisinau_0615.html,Republic of Moldova,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,98,e3af05bf03155298928b7366d4d8f992adf1dba676ea443111d8dae3240315f2
HRV1-098,98,25,N° de pourvoi: 19-80372,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/fra/2020/n_de_pourvoi_19-80372_.html,France,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,99,cdb92ee70447f67c9e7a707b2d4c60dae8b2be7e6e4ce565b6c5e748f0bf5537
HRV1-099,99,985,AT and Others v Dulghieru,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2009/at_and_others_v_dulghieru.html,United Kingdom of Great Britain and Northern Ireland,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,100,f536a13e85aa90d4d59cf7501c6ad835d03002c7ba3f3c854ac2f6b6f1482ea9
HRV1-100,100,850,United States v. Christopher M. Cockrell,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2009/united_states_v._christopher_m._cockrell.html,United States of America,0,NOT_REVIEWED,NOT_REVIEWED_DONE_BLANK,,,data/annotations/reviewer_annotation_template.csv,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af,101,86af1dd34ce020396eda3f3c2905af1d39c03d971241759ab7d6cac6e6d726d4
