reliability_case_id,reviewer_order,search_rank,canonical_url,jurisdiction,input_sha256,reviewed,review_status,retained,substantive_amp_evaluable,abstain_subset,excluded,exclusion_reason,source_row_number,source_sha256
HRV1-013,13,615,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2011/united_states_v._steven_c._albers.html,United States of America,6faba033f4cd2246a257401a66ee86d93d450991ccb602fd414fe9f1a9d7821b,1,SUBSTANTIVE,1,1,0,0,,14,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-014,14,13,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aze/2021/case_of_zoletic_and_others_v._azerbaijan.html,Azerbaijan,86feaa04873e5aeb0202ec517bac72d0fc4842f0adc2645a851944139365f3e0,1,SUBSTANTIVE,1,1,0,0,,15,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-015,15,728,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gtm/2010/expediente_2571-2010_inconstitucionalidad_en_caso_concreto.html,Guatemala,0ea23f7bf43a6c2f40de7820b2f586742ffde25b44a5f21ec502f720ee31a675,1,ABSTAIN,1,0,1,0,,16,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-016,16,898,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2009/united_states_v._oscar_mondragon.html,United States of America,45a51a2025d51c4c551ca1a526b93d3121e73fc540603fe6dbf4468e34c90730,1,SUBSTANTIVE,1,1,0,0,,17,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-017,17,313,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2013/case_no._r-llp-09-05622-cr.html,Philippines,53dc5e6b5261b842d2888c37177ef7ee4f6dc304fda9a749b6dd521ba2082303,1,SKIP,0,0,0,1,REVIEWER_SKIP,18,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-018,18,889,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2009/acr_2006.72.03.003070-2_trf4.html,Brazil,07e67c4360bdef3c185ccb5ca9d833ffbdf4c7a8916556d25145e9e749d93a22,1,SUBSTANTIVE,1,1,0,0,,19,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-019,19,934,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2009/kulab_or_rampueng_thongmeesri_or_sai-utah.html,Thailand,b6310895411c9c831670f6766a7ab95019e16f99d121f07e1005560a99e17433,1,SUBSTANTIVE,1,1,0,0,,20,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-020,20,1508,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/jor/case_no._23572010.html,Jordan,4df8300134faf41aa4a54a5d48ce531a850bdb8fe8483748ac4de57609ea22f8,1,SUBSTANTIVE,1,1,0,0,,21,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-021,21,604,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ind/2011/shiva_ent_udyog_v._national_human_rights_commission_and_ors.html,India,e42de76aa786a7a32b5f26915a09e91e575e444b32399bee9e601382aff48819,1,SKIP,0,0,0,1,REVIEWER_SKIP,22,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-022,22,962,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2009/emerson.html,Canada,339463d573486bd149c38188947890f322bb113333ded99db77109300cea0acf,1,SUBSTANTIVE,1,1,0,0,,23,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-023,23,304,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2013/samaesan.html,Thailand,d34640cb75083cab778d3a1e3ee52d82f2fb3cebc917ebdc9b740f0c94366b4f,1,SUBSTANTIVE,1,1,0,0,,24,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-024,24,34,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2019/proc._no._128092019.html,Italy,34bba3eb864658b7e3283d8939c06a4181bf44429cd2865d08d2923b7c1e51b5,1,SUBSTANTIVE,1,1,0,0,,25,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-025,25,627,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2010/ranya_boonmee_kaew_kongmuang_and_manus_boonmee.html,Thailand,1086b7f6f69be8915bbcf3145962022d89b8ad8d914e2470a8c625bb5233917c,1,SKIP,0,0,0,1,REVIEWER_SKIP,26,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-026,26,1515,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/jor/case_no._21052009.html,Jordan,1551e69f5bdc4f68149b1337ae8d08d19ca15a1973fedfc97c3c40001e9c29df,1,ABSTAIN,1,0,1,0,,27,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-027,27,999,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2009/crim._case_no._q-05-135363.html,Philippines,f4870bd93c445580ce04a2e2bbd9f983d768da3b65d6601813dd37cdb66e61ea,1,SKIP,0,0,0,1,REVIEWER_SKIP,28,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-028,28,474,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2011/acr_200850010049016es.html,Brazil,09381a460ec548a973fc094c1a0ae50db19ace56b304540a7c4b152af1f4bcbb,1,SKIP,0,0,0,1,REVIEWER_SKIP,29,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-029,29,1462,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/1999/united_states_v._alex_mishulovich.html,United States of America,d9fa77ff5f7f3e372f4aa5c6aee598d4bcb8024d37cf8774a3102b6b8f72a547,1,SUBSTANTIVE,1,1,0,0,,30,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-030,30,509,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2011/case_n_2338.html,Argentina,b342ca6598513a7e78738c2d23e9807fa8f293da997f67fb6e79765254078f9e,1,SUBSTANTIVE,1,1,0,0,,31,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-031,31,546,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swe/2011/case_no_b_87-11.html,Sweden,7bb552033f8a7a12ad5c49dd07260080db394e06d35718071b4d66dba49d14b4,1,SUBSTANTIVE,1,1,0,0,,32,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-032,32,1111,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/khm/2008/p._s..html,Cambodia,bbf9662f30e07afbead2421076eea576329f9c7f46b545262e97f03674911233,1,SUBSTANTIVE,1,1,0,0,,33,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-033,33,375,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/swe/2012/case_no_b_6114-11.html,Sweden,3835310d6ef3734f0224585633d9850d2949edbf5774e79da96ea27df8a1a551,1,SUBSTANTIVE,1,1,0,0,,34,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-034,34,262,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2013/case_no.cbu-91076.html,Philippines,952c22eefba4206e0f1f661a328cc8afd4221875e1026e0f1fc87988871b2481,1,SUBSTANTIVE,1,1,0,0,,35,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-035,35,468,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/fin/2011/ko_r_111073.html,Finland,f596acbc90a42ffc52dbfe0845426cb2b09b49c4d734a09ae9d7d0ac4762b3de,1,SUBSTANTIVE,1,1,0,0,,36,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-036,36,1399,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2003/united_states_v._tong_xiong.html,United States of America,cb818b0f477903cfb5ea96aeecdc42b27be472cb933f87b85b9698798bac0064,1,SUBSTANTIVE,1,1,0,0,,37,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-037,37,409,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swe/2012/case_no_b_16821-11.html,Sweden,dfe6082e2b8e4f8f1055c1c9a9fb6fc0ee7734bc971ccf741e114653bca99124,1,SUBSTANTIVE,1,1,0,0,,38,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-038,38,86,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/ner/2017/jugement_n_362016.html,Niger,8ccd71b389f221375dd3e9ab34acf3a80f792845f3ad7f180fecbf54c71a3cbf,1,SKIP,0,0,0,1,REVIEWER_SKIP,39,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-039,39,123,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2016/n660001-62-66-001-2011-00021-00_ac-233-15.html,Colombia,d777410fddf8ce2439fcb59f74f9b9a9cfbd409fe9e36344d7690aa013fbd628,1,SUBSTANTIVE,1,1,0,0,,40,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-040,40,52,https://www.unodc.org/cld/case-law-doc/moneylaunderingcrimetype/nld/2018/1703852.html,Netherlands (Kingdom of the),82163da3ead4597040aa6b03460a64cc0c7792d0d2e23ed03bd997d84ef809d6,1,SUBSTANTIVE,1,1,0,0,,41,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-041,41,1566,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ven/jorge_eliecer_castro_davila_.html,Venezuela (Bolivarian Republic of),207e7f2a4d17d7fcb86f1ce73a067996fe8c3e0793856a54032178c5fb87ee05,1,SUBSTANTIVE,1,1,0,0,,42,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-042,42,235,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ken/2013/j.f._another_v_republic_2013_eklr.html,Kenya,6a4f652ca3e7b3856238952827a891877e0dc5f5d5b20646053d2c085cde7253,1,SUBSTANTIVE,1,1,0,0,,43,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-043,43,618,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ind/2010/bachpan_bachao_and_ors._v._union_of_india_uoi_and_ors.html,India,92b0fbdf05230871c07f142961edceac0f52d6fae62756f83fed07df7e90ee3d,1,SKIP,0,0,0,1,REVIEWER_SKIP,44,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-044,44,127,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/grc/2016/affaire_l.e._c._grece.html,Greece,84fd4c08efd763c1349011d59cd155dfed2625f00f45bd90281cc0e5283ad121,1,SUBSTANTIVE,1,1,0,0,,45,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-045,45,285,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/bel/2013/case_no._20131339.html,Belgium,62a1fcb24a63cab0daaece4a55f3666b94017e5b9ed67ccc4685f9a2b44964f9,1,SUBSTANTIVE,1,1,0,0,,46,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-046,46,1159,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/che/2008/6b_277_-_2007.html,Switzerland,d74d0ddde4f160e2fab40642476d4c899d10a135810cb88d806b6cad78edcaaa,1,SUBSTANTIVE,1,1,0,0,,47,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-047,47,842,https://www.unodc.org/cld/case-law-doc/drugcrimetype/cze/2009/17_t_152007.html,Czechia,e31d6728153c7e531efa0a44e04536c69b5d0a24150ae0c2ef4c2b9ef18d01ee,1,SUBSTANTIVE,1,1,0,0,,48,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-048,48,1517,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/jor/case_no._26352009.html,Jordan,65baf1a0f25d8386ee9bcc5a82c95806cf4551fe71df7c0446c134787e0e3a7e,1,SUBSTANTIVE,1,1,0,0,,49,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-049,49,480,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2011/causa_2422.html,Argentina,a16834e34703ed28e20ddc6367f2895fb2b84efad3ed5d762eea2eedb1aec302,1,SUBSTANTIVE,1,1,0,0,,50,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-050,50,769,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bel/2010/correctional_tribunal_of_brussels_20-04-2010.html,Belgium,2422325a108035aa84304d0cb65502e98601c5ffa4eb9c2469a64b963a0c180d,1,SUBSTANTIVE,1,1,0,0,,51,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-051,51,317,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nor/2012/12-175933med-otir03.html,Norway,373e57f233403a4050e39edd66b9c2ce5914c0de6d97264dcff6a091250e4f54,1,SUBSTANTIVE,1,1,0,0,,52,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-052,52,146,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mkd/2015/case_n280515.html,North Macedonia,a60579c84ffeb169cb69cfb95ea9e542c4356a723fc9c7ec5daa6a2a46f5eee0,1,SUBSTANTIVE,1,1,0,0,,53,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-053,53,1173,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/per/2007/exp._n._07853-2006-phtc_.html,Peru,3c2b42f7c4dcf5b9692ec4891dea9be6ca0331936d648eab2e33ce1e23af5e5d,1,ABSTAIN,1,0,1,0,,54,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-054,54,628,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bol/2010/auto_supremo_2632010_-_declaratory_judgment_for_the_first_juvenile_court_of_la_paz.html,Bolivia (Plurinational State of),44f72450b37b553a59bb3bec13345d75ff4f1952c182843eda2b8f328bdcea2c,1,ABSTAIN,1,0,1,0,,55,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-055,55,574,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nic/2011/lovo.html,Nicaragua,1f99de18744e7ffaff93fa694c6cb8dbd87099f1232a25722dd46562afabf91d,1,SUBSTANTIVE,1,1,0,0,,56,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-056,56,167,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/dom/2014/caso_antonio_perez_y_cabral_flete.html,Dominican Republic,572276b92022235df5d30b41098b06ee3729dc93a49f381c582e7e7823714eea,1,SUBSTANTIVE,1,1,0,0,,57,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-057,57,1142,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/col/2008/valencia_et_al.html,Colombia,ddb663d14fabd8e325420928a8c2d209f9ee7bc19a4007465b72321665678d01,1,SUBSTANTIVE,1,1,0,0,,58,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-058,58,1406,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/isr/2003/frudenthal_vs._state_of_israel_.html,Israel,7560d1c88df764cb1cf1c8e9f056e14093e7d6d91061349d2127e0a607a04202,1,SKIP,0,0,0,1,REVIEWER_SKIP,59,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-059,59,107,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/isr/2016/ibrahim_and_basma_giulani_v._the_state_of_israel.html,Israel,928ac2dfb49067238b415e077c787ce42e00905706cebc5785a9128ff65ef169,1,SKIP,0,0,0,1,REVIEWER_SKIP,60,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-060,60,839,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ecu/2009/juicio_no._460-2009.html,Ecuador,e80f6a1a9da58947a3d032cc5c623ca35f007dfab5d4862ca5c35b1a005bd5da,1,SUBSTANTIVE,1,1,0,0,,61,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-061,61,640,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bol/2010/auto_supremo_no._571_sucre_-_michael_gerard_marroquin_1.html,Bolivia (Plurinational State of),4b978c7f1dcb62f9841955d2f8cf36879ba080d637b68c58a6469f131eb6b875,1,ABSTAIN,1,0,1,0,,62,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-062,62,418,https://www.unodc.org/cld/case-law-doc/drugcrimetype/gbr/2012/r_v._n._and_r_v._le.html,United Kingdom of Great Britain and Northern Ireland,539f4ae5ab8650bcc5b46c61c97b8d9c0770734ef9d0bbe499be9f60bceac85b,1,SUBSTANTIVE,1,1,0,0,,63,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-063,63,781,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2010/united_states_v._mahender_murlidhar_sabhnani_and_varsha_mahender_sabhnani_.html,United States of America,1b969631b64e7645b387288c4ae5c303e53401e7ed5570b2d3e271317393f280,1,SKIP,0,0,0,1,REVIEWER_SKIP,64,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-064,64,984,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/rou/2009/18a2009.html,Romania,a169ab079958a46c6164055b0f9f1df9b88393a8173a8d1ae4ba1685f5034169,1,SKIP,0,0,0,1,REVIEWER_SKIP,65,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-065,65,759,https://www.unodc.org/cld/case-law-doc/drugcrimetype/usa/2010/docket_number_-_unknown_2010.html,United States of America,a1342bf1df530d950728c18d51599b511db02bb92233ef31c9da7cd714e53937,1,SUBSTANTIVE,1,1,0,0,,66,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-066,66,195,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2014/cardaci_y_mossolini.html,Argentina,42b45a0002af63e0bb556f23ec66c6d0ca63f9bc9a769a3338fe134856a50e46,1,SKIP,0,0,0,1,REVIEWER_SKIP,67,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-067,67,633,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gtm/2010/quiroa_diaz_munoz.html,Guatemala,4045a1b308d5fa2afca2f785ffb4afe0ba1065d3553a3413795074233d48a771,1,SUBSTANTIVE,1,1,0,0,,68,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-068,68,1229,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2007/united_states_v._telichenko.html,United States of America,0d9ddc6ceaadf8cc2804d3df34ffb9b80a3056133f4b5660c7d599fc40a53278,1,SUBSTANTIVE,1,1,0,0,,69,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-069,69,751,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/srb/2010/k_40810_.html,Serbia,d04021f6bbae697429df7ba74569aa2d15d07d42e276592a20b513b5dfdd5135,1,SUBSTANTIVE,1,1,0,0,,70,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-070,70,238,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aus/2013/r_v_kuavong_2013_qca310.html,Australia,0bf79aad8eb95edcff317be6f6cf2eb564a200cff751879f21ed6e952e138477,1,SUBSTANTIVE,1,1,0,0,,71,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-071,71,582,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/srb/2011/k.br._410_.html,Serbia,bcee71fc72e232507529f27dbf3dc9e09edd88d588c99da0bb20aaed9c0d5228,1,SUBSTANTIVE,1,1,0,0,,72,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-072,72,513,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/bra/2011/processo_n_2004.81.00.018889-0.html,Brazil,e8af8e6e07e6670813b42cc9f4a2bccb2c73c3cf8aa13d85d576635f4143f67a,1,SUBSTANTIVE,1,1,0,0,,73,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-073,73,274,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2013/case_n_369213.html,Argentina,fff1fff4829fae599874e8383217be21eff5e0c654a349a0d8568156d5f88c8c,0,NOT_REVIEWED,0,0,0,1,NOT_REVIEWED_DONE_BLANK,74,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
HRV1-074,74,320,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2012/ledesma_pedro_alberto_y_otras.html,Argentina,821715c08afbe537854285516898fac787f0efbccf38d1f88370a1d5c807505a,0,NOT_REVIEWED,0,0,0,1,NOT_REVIEWED_DONE_BLANK,75,7ec0a40ab6a9d64588cf4b6c8b46d2572683cf7e340d786117604bc6f20081af
