search_rank,case_title,unodc_case_number,canonical_url,url_path_crime_type,fact_summary_status,has_english_fact_summary,has_any_fact_summary,fact_summary_variant_count,fact_summary_language_count,fact_summary_languages,has_sidebar_acts,sidebar_acts_count,has_sidebar_means,sidebar_means_count,has_sidebar_purpose,sidebar_purpose_count,has_legacy_keyword_acts,legacy_keyword_acts_count,has_legacy_keyword_means,legacy_keyword_means_count,has_legacy_keyword_purpose,legacy_keyword_purpose_count,has_victim_or_person_role_section,person_role_section_count,person_role_record_count,has_defendant_or_respondent_section,defendant_respondent_section_count,defendant_respondent_record_count,has_charges_claims_decisions,charge_subject_record_count,charge_record_count,has_court,tabbed_section_count,tabbed_pane_count,multi_pane_section_count,multilingual_section_count,multilingual_section_labels,crime_type_badge_count,parse_warning_count,parse_warning_severity_count,parse_warning_codes,overall_parse_status
36,R v Gallone,CANx124,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2019/r_v_gallone.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,2,1,1,0,0,1,2,0,0,1,1,1,1,1,1,1,1,2,1,0,0,0,0,,1,0,0,,FOUND
37,United States of America v. Anthony Donte Collier; 932 F.3d 1067; No. 18-1025,USAx164,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2019/united_states_of_america_v._anthony_donte_collier_932_f.3d_1067_no._18-1025.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,3,1,1,1,1,1,3,1,1,1,1,5,1,1,2,1,2,4,0,0,0,0,0,,2,0,0,,FOUND
38,S v. Jonas (CC14/2017),NAMx003,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nam/2019/s_v._jonas_cc142017.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,4,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,5,1,0,0,0,0,,2,0,0,,FOUND
39,Sentence N. 883/2019,ITAx037,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2019/sentence_n._8832019.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,1,6,1,2,1,1,1,1,1,2,1,1,1,1,5,1,1,2,1,2,6,1,0,0,0,0,,3,0,0,,FOUND
40,"Nyasa Nicole Mulumbilwa, Hussie Salimo, Justine Muftafela, and Abswe Samuel Ikengelo vs. The People of Zambia; CAZ Appeal/No. 154/155/156/157/2018",ZMB004,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/zmb/2019/nyasa_nicole_mulumbilwa_hussie_salimo_justine_muftafela_and_abswe_samuel_ikengelo_vs._the_people_of_zambia_caz_appealno._1541551561572018.html,migrantsmugglingcrimetype,FOUND,1,1,1,1,en,1,5,0,0,0,0,1,4,0,0,0,0,1,1,1,1,1,4,1,4,1,0,0,0,0,0,,2,0,0,,FOUND
41,(513 Kls) 255 Js 637/18 (38/18),DEUx022,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/deu/2019/513_kls_255_js_63718_3818.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,1,2,1,3,1,2,1,2,1,3,1,3,1,1,5,1,1,4,1,4,10,1,0,0,0,0,,2,0,0,,FOUND
42,Querela n°11/19,MOZ002,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/moz/2019/querela_n1119.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,0,0,0,0,0,0,0,0,1,1,10,1,1,1,1,1,1,0,0,0,0,0,,1,0,0,,FOUND
43,Supreme Court Decision no. 2/2019 (Nea Manolada),GRCx042,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/grc/2019/supreme_court_decision_no._22019_nea_manolada.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,1,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,1,0,0,,FOUND
44,(513 Kls) 255 Js 637/18 (38/18) Trb 1,DEUx023,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/deu/2019/513_kls_255_js_63718_3818_trb_1.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,1,1,1,2,1,1,1,1,1,2,1,1,5,1,1,1,1,1,2,1,0,0,0,0,,1,0,0,,FOUND
45,People v. Sayo [G.R. No. 227704],PHLx013,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2019/people_v._sayo_g.r._no._227704_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,2,4,1,0,0,0,0,,1,0,0,,FOUND
46,"Appeal of the Court of First Instance of Liège, 2019/858",BEL045,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bel/2019/appeal_of_the_court_of_first_instance_of_liege_2019858.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,4,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,3,1,3,5,1,0,0,0,0,,2,0,0,,FOUND
47,Public Prosecutor v BSR [2019] SGHC 64,SGPx015,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/sgp/2019/public_prosecutor_v_bsr_2019_sghc_64.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,2,1,2,0,0,0,0,1,1,1,1,3,1,1,1,1,1,4,1,0,0,0,0,,1,0,0,,FOUND
48,33 KLs 17/18,DEUx019,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/deu/2019/33_kls_1718.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,6,1,2,1,1,0,0,0,0,0,0,1,1,6,1,1,3,1,3,7,0,0,0,0,0,,1,0,0,,FOUND
49,John Miller Vs.Her Majesty's Advocate,GBRx089,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2019/john_miller_vs.her_majestys_advocate.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
50,Arrêt N° 34/19 X,LUXx001,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/lux/2019/arret_n_3419_x.html,migrantsmugglingcrimetype,FOUND,1,1,1,1,en,1,3,1,1,1,2,1,3,1,1,1,2,1,1,2,1,1,2,1,2,2,1,0,0,0,0,,2,0,0,,FOUND
51,EG,BEL042,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/bel/2018/eg.html,migrantsmugglingcrimetype,FOUND,1,1,2,2,en|fr,1,2,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,2,1,1,Fact Summary,2,0,0,,FOUND
52,17/03852,NLDx005,https://www.unodc.org/cld/case-law-doc/moneylaunderingcrimetype/nld/2018/1703852.html,moneylaunderingcrimetype,FOUND,1,1,1,1,en,1,2,1,1,1,2,1,1,1,1,1,2,0,0,0,1,1,2,1,2,2,1,0,0,0,0,,2,0,0,,FOUND
53,C.M.S. y Guillemet Gastón,ARGx006,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2018/c.m.s._y_guillemet_gaston_.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,1,3,1,2,1,1,1,2,1,2,1,1,1,1,3,1,1,2,1,2,4,1,2,4,2,2,Fact Summary|Commentary and Significant Features,1,0,0,,FOUND
54,S v. Alam (CO 67/2016) [2018] SCSC 946,SYCx010,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/syc/2018/s_v._alam_co_672016_2018_scsc_946_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,4,1,2,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,0,0,0,0,,1,0,0,,FOUND
55,"Blanco, José Constantino y otros s/ infracción art. 145 bis",ARGx008,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2018/blanco_jose_constantino_y_otros_s_infraccion_art._145_bis.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,1,4,1,1,1,1,1,4,1,1,1,1,1,1,11,1,1,3,1,3,4,1,2,4,2,2,Fact Summary|Commentary and Significant Features,1,0,0,,FOUND
56,S v Koch,NAMx002,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nam/2018/s_v_koch_.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,0,0,1,1,0,0,0,0,0,0,1,1,4,1,1,1,1,1,3,1,0,0,0,0,,1,0,0,,FOUND
57,IM,BEL043,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/bel/2018/im.html,migrantsmugglingcrimetype,FOUND,1,1,2,2,en|fr,1,4,1,2,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,2,1,1,Fact Summary,2,0,0,,FOUND
58,13-000227-1219-PE,CRI006,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/cri/2018/13-000227-1219-pe.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,6,1,2,1,1,1,3,1,2,1,1,1,1,22,1,1,5,1,5,5,0,0,0,0,0,,1,0,0,,FOUND
59,K.W. A v Regina,GBRx088,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2018/k.w._a_v_regina.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,1,0,0,0,0,,1,0,0,,FOUND
60,WP 4517 (W) of 2018,INDx029,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ind/2018/wp_4517_w_of_2018.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,8,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,4,2,0,,1,6,6,DUPLICATE_TAB_PANE_ID|DUPLICATE_TAB_HREF|TAB_GROUP_MULTIPLE_ACTIVE_PANES|DUPLICATE_TAB_PANE_ID|DUPLICATE_TAB_HREF|TAB_GROUP_MULTIPLE_ACTIVE_PANES,PARTIAL
61,FSM v. Shiro (Crim. Case No. 2016-1503),FSMx003,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/fsm/2018/fsm_v._shiro_crim._case_no._2016-1503.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,2,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,4,1,4,1,1,0,0,0,0,,1,0,0,,FOUND
62,B637.L6.961-X7-DF,BEL041,https://www.unodc.org/cld/case-law-doc/migrantsmugglingcrimetype/bel/2018/b637.l6.961-x7-df_.html,migrantsmugglingcrimetype,FOUND,1,1,2,2,en|fr,1,1,1,2,1,1,0,0,0,0,1,1,1,1,1,1,1,2,1,2,4,1,1,2,1,1,Fact Summary,3,1,0,TAB_GROUP_NO_ACTIVE_PANE,FOUND
63,Sent. 3/2018 R. Sent,ITA015,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2018/sent._32018_r._sent.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,1,5,1,3,1,1,0,0,0,0,0,0,1,1,4,1,1,4,1,4,10,1,0,0,0,0,,2,3,3,NESTED_CASE_LAW_DETAIL|NESTED_CASE_LAW_DETAIL|NESTED_CHARGE_SUBJECT_RECORDS,PARTIAL
64,[2018] EWCA Crim 667,GBRx094,https://www.unodc.org/cld/case-law-doc/drugcrimetype/gbr/2018/2018_ewca_crim_667_.html,drugcrimetype,FOUND,1,1,1,1,en,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,2,1,2,3,1,0,0,0,0,,4,0,0,,FOUND
65,Case 14/2018,OMN012,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/omn/2018/case_142018.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,3,1,1,0,0,1,3,1,1,1,1,1,1,1,1,1,4,1,4,4,1,0,0,0,0,,1,0,0,,FOUND
66,R. v. Alexis-McLymont and Elgin and Hird,CANx127,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/can/2018/r._v._alexis-mclymont_and_elgin_and_hird.html,criminalgroupcrimetype,FOUND,1,1,1,1,en,1,4,1,4,1,1,1,4,1,4,1,1,1,1,1,1,1,3,1,3,3,1,0,0,0,0,,3,0,0,,FOUND
67,"Landriel, Daniel y otros",ARGx007,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2018/landriel_daniel_y_otros_.html,traffickingpersonscrimetype,FOUND,1,1,2,2,en|es,1,4,1,4,1,1,1,4,1,4,1,1,1,1,2,1,1,5,1,5,9,1,2,4,2,2,Fact Summary|Commentary and Significant Features,2,0,0,,FOUND
68,Jugt n° 534/2018,LUXx002,https://www.unodc.org/cld/case-law-doc/moneylaunderingcrimetype/lux/2018/jugt_n_5342018_.html,moneylaunderingcrimetype,FOUND,1,1,1,1,en,1,3,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,3,1,3,6,1,0,0,0,0,,2,0,0,,FOUND
69,"R. v. A.E., 2018 ONSC 471",CANx156,https://www.unodc.org/cld/case-law-doc/illicitfirearmscrimetype/can/2018/r._v._a.e._2018_onsc_471.html,illicitfirearmscrimetype,FOUND,1,1,1,1,en,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,12,1,0,0,0,0,,3,0,0,,FOUND
70,State v. Retina Chiyenda,MWIx4,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/mwi/2018/state_v._retina_chiyenda.html,traffickingpersonscrimetype,FOUND,1,1,1,1,en,1,1,1,3,1,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,2,0,0,,FOUND
