method,scope,fold,jurisdiction,label_id,family,support,predicted_positive,true_positive,false_positive,false_negative,precision,recall,f1,status,included_in_macro_f1,reference_terminology
M1,TEST,,,PURPOSE_OTHER,PURPOSE,13,0,0,0,13,0.0,0.0,0.0,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,ACT_RECRUITMENT,ACT,208,252,207,45,1,0.8214285714285714,0.9951923076923077,0.9,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,ACT_TRANSPORTATION,ACT,165,252,164,88,1,0.6507936507936508,0.9939393939393939,0.7865707434052758,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,ACT_TRANSFER,ACT,98,184,85,99,13,0.46195652173913043,0.8673469387755102,0.6028368794326241,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,ACT_HARBOURING,ACT,122,189,103,86,19,0.544973544973545,0.8442622950819673,0.662379421221865,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,ACT_RECEIPT,ACT,71,120,48,72,23,0.4,0.676056338028169,0.5026178010471204,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,MEANS_THREAT_FORCE_OR_COERCION,MEANS,133,224,126,98,7,0.5625,0.9473684210526315,0.7058823529411765,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,MEANS_ABDUCTION,MEANS,23,15,1,14,22,0.06666666666666667,0.043478260869565216,0.05263157894736842,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,MEANS_FRAUD,MEANS,61,128,45,83,16,0.3515625,0.7377049180327869,0.47619047619047616,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,MEANS_DECEPTION,MEANS,133,225,130,95,3,0.5777777777777777,0.9774436090225563,0.7262569832402235,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,MEANS,154,242,150,92,4,0.6198347107438017,0.974025974025974,0.7575757575757576,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,MEANS,28,28,7,21,21,0.25,0.25,0.25,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,PURPOSE_SEXUAL_EXPLOITATION,PURPOSE,202,211,200,11,2,0.9478672985781991,0.9900990099009901,0.9685230024213075,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,PURPOSE_FORCED_LABOUR_OR_SERVICES,PURPOSE,50,59,37,22,13,0.6271186440677966,0.74,0.6788990825688074,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,PURPOSE,13,9,3,6,10,0.3333333333333333,0.23076923076923078,0.2727272727272727,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,PURPOSE_SERVITUDE,PURPOSE,14,24,8,16,6,0.3333333333333333,0.5714285714285714,0.42105263157894735,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,PURPOSE_REMOVAL_OF_ORGANS,PURPOSE,2,0,0,0,2,0.0,0.0,0.0,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M2,TEST,,,PURPOSE_OTHER,PURPOSE,13,24,6,18,7,0.25,0.46153846153846156,0.32432432432432434,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,ACT_RECRUITMENT,ACT,208,201,177,24,31,0.8805970149253731,0.8509615384615384,0.8655256723716381,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,ACT_TRANSPORTATION,ACT,165,202,151,51,14,0.7475247524752475,0.9151515151515152,0.8228882833787466,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,ACT_TRANSFER,ACT,98,61,33,28,65,0.5409836065573771,0.336734693877551,0.41509433962264153,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,ACT_HARBOURING,ACT,122,132,91,41,31,0.6893939393939394,0.7459016393442623,0.7165354330708661,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,ACT_RECEIPT,ACT,71,74,34,40,37,0.4594594594594595,0.4788732394366197,0.4689655172413793,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,MEANS_THREAT_FORCE_OR_COERCION,MEANS,133,155,106,49,27,0.6838709677419355,0.7969924812030075,0.7361111111111112,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,MEANS_ABDUCTION,MEANS,23,10,6,4,17,0.6,0.2608695652173913,0.36363636363636365,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,MEANS_FRAUD,MEANS,61,26,13,13,48,0.5,0.21311475409836064,0.2988505747126437,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,MEANS_DECEPTION,MEANS,133,138,107,31,26,0.7753623188405797,0.8045112781954887,0.7896678966789668,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,MEANS,154,112,91,21,63,0.8125,0.5909090909090909,0.6842105263157895,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,MEANS,28,47,16,31,12,0.3404255319148936,0.5714285714285714,0.4266666666666667,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,PURPOSE_SEXUAL_EXPLOITATION,PURPOSE,202,195,193,2,9,0.9897435897435898,0.9554455445544554,0.9722921914357683,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,PURPOSE_FORCED_LABOUR_OR_SERVICES,PURPOSE,50,61,35,26,15,0.5737704918032787,0.7,0.6306306306306306,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,PURPOSE,13,22,2,20,11,0.09090909090909091,0.15384615384615385,0.11428571428571428,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,PURPOSE_SERVITUDE,PURPOSE,14,16,4,12,10,0.25,0.2857142857142857,0.26666666666666666,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,PURPOSE_REMOVAL_OF_ORGANS,PURPOSE,2,2,2,0,0,1.0,1.0,1.0,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M3,TEST,,,PURPOSE_OTHER,PURPOSE,13,18,8,10,5,0.4444444444444444,0.6153846153846154,0.5161290322580645,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,ACT_RECRUITMENT,ACT,208,195,171,24,37,0.8769230769230769,0.8221153846153846,0.8486352357320099,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,ACT_TRANSPORTATION,ACT,165,195,146,49,19,0.7487179487179487,0.8848484848484849,0.8111111111111111,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,ACT_TRANSFER,ACT,98,52,29,23,69,0.5576923076923077,0.29591836734693877,0.38666666666666666,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,ACT_HARBOURING,ACT,122,119,83,36,39,0.6974789915966386,0.680327868852459,0.6887966804979253,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,ACT_RECEIPT,ACT,71,51,27,24,44,0.5294117647058824,0.38028169014084506,0.4426229508196721,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,MEANS_THREAT_FORCE_OR_COERCION,MEANS,133,150,104,46,29,0.6933333333333334,0.7819548872180451,0.734982332155477,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,MEANS_ABDUCTION,MEANS,23,11,7,4,16,0.6363636363636364,0.30434782608695654,0.4117647058823529,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,MEANS_FRAUD,MEANS,61,21,14,7,47,0.6666666666666666,0.22950819672131148,0.34146341463414637,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,MEANS_DECEPTION,MEANS,133,128,99,29,34,0.7734375,0.7443609022556391,0.7586206896551724,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,MEANS,154,111,94,17,60,0.8468468468468469,0.6103896103896104,0.7094339622641509,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,MEANS,28,41,12,29,16,0.2926829268292683,0.42857142857142855,0.34782608695652173,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,PURPOSE_SEXUAL_EXPLOITATION,PURPOSE,202,192,191,1,11,0.9947916666666666,0.9455445544554455,0.9695431472081218,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,PURPOSE_FORCED_LABOUR_OR_SERVICES,PURPOSE,50,46,34,12,16,0.7391304347826086,0.68,0.7083333333333334,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,PURPOSE,13,18,2,16,11,0.1111111111111111,0.15384615384615385,0.12903225806451613,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,PURPOSE_SERVITUDE,PURPOSE,14,19,7,12,7,0.3684210526315789,0.5,0.42424242424242425,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,PURPOSE_REMOVAL_OF_ORGANS,PURPOSE,2,2,2,0,0,1.0,1.0,1.0,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
M4,TEST,,,PURPOSE_OTHER,PURPOSE,13,18,8,10,5,0.4444444444444444,0.6153846153846154,0.5161290322580645,SUPPORTED,1,SHERLOC Legacy Keywords silver reference
